Target,ID,DateTime,Username,Tweet,,,,,,,,,
1,1467810369,Mon Apr 06 22:19:45 PDT 2009,_TheSpecialOne_,"@switchfoot http://twitpic.com/2y1zl - Awww, that's a bummer.  You shoulda got David Carr of Third Day to do it. ;D",,,,,,,,,
1,1467810672,Mon Apr 06 22:19:49 PDT 2009,scotthamilton,is upset that he can't update his Facebook by texting it... and might cry as a result  School today also. Blah!,,,,,,,,,
1,1467810917,Mon Apr 06 22:19:53 PDT 2009,mattycus,@Kenichan I dived many times for the ball. Managed to save 50%  The rest go out of bounds,,,,,,,,,
1,1467811184,Mon Apr 06 22:19:57 PDT 2009,ElleCTF,my whole body feels itchy and like its on fire ,,,,,,,,,
1,1467811193,Mon Apr 06 22:19:57 PDT 2009,Karoli,"@nationwideclass no, it's not behaving at all. i'm mad. why am i here? because I can't see you all over there. ",,,,,,,,,
1,1467811372,Mon Apr 06 22:20:00 PDT 2009,joy_wolf,@Kwesidei not the whole crew ,,,,,,,,,
1,1467811592,Mon Apr 06 22:20:03 PDT 2009,mybirch,Need a hug ,,,,,,,,,
1,1467811594,Mon Apr 06 22:20:03 PDT 2009,coZZ,"@LOLTrish hey  long time no see! Yes.. Rains a bit ,only a bit  LOL , I'm fine thanks , how's you ?",,,,,,,,,
1,1467811795,Mon Apr 06 22:20:05 PDT 2009,2Hood4Hollywood,@Tatiana_K nope they didn't have it ,,,,,,,,,
1,1467812025,Mon Apr 06 22:20:09 PDT 2009,mimismo,@twittera que me muera ? ,,,,,,,,,
1,1467812416,Mon Apr 06 22:20:16 PDT 2009,erinx3leannexo,spring break in plain city... it's snowing ,,,,,,,,,
1,1467812579,Mon Apr 06 22:20:17 PDT 2009,pardonlauren,I just re-pierced my ears ,,,,,,,,,
1,1467812723,Mon Apr 06 22:20:19 PDT 2009,TLeC,@caregiving I couldn't bear to watch it.  And I thought the UA loss was embarrassing . . . . .,,,,,,,,,
1,1467812771,Mon Apr 06 22:20:19 PDT 2009,robrobbierobert,"@octolinz16 It it counts, idk why I did either. you never talk to me anymore ",,,,,,,,,
1,1467812784,Mon Apr 06 22:20:20 PDT 2009,bayofwolves,"@smarrison i would've been the first, but i didn't have a gun.    not really though, zac snyder's just a doucheclown.",,,,,,,,,
1,1467812799,Mon Apr 06 22:20:20 PDT 2009,HairByJess,@iamjazzyfizzle I wish I got to watch it with you!! I miss you and @iamlilnicki  how was the premiere?!,,,,,,,,,
1,1467812964,Mon Apr 06 22:20:22 PDT 2009,lovesongwriter,Hollis' death scene will hurt me severely to watch on film  wry is directors cut not out now?,,,,,,,,,
1,1467813137,Mon Apr 06 22:20:25 PDT 2009,armotley,about to file taxes ,,,,,,,,,
1,1467813579,Mon Apr 06 22:20:31 PDT 2009,starkissed,@LettyA ahh ive always wanted to see rent  love the soundtrack!!,,,,,,,,,
1,1467813782,Mon Apr 06 22:20:34 PDT 2009,gi_gi_bee,@FakerPattyPattz Oh dear. Were you drinking out of the forgotten table drinks? ,,,,,,,,,
1,1467813985,Mon Apr 06 22:20:37 PDT 2009,quanvu,@alydesigns i was out most of the day so didn't get much done ,,,,,,,,,
1,1467813992,Mon Apr 06 22:20:38 PDT 2009,swinspeedx,"one of my friend called me, and asked to meet with her at Mid Valley today...but i've no time *sigh* ",,,,,,,,,
1,1467814119,Mon Apr 06 22:20:40 PDT 2009,cooliodoc,@angry_barista I baked you a cake but I ated it ,,,,,,,,,
1,1467814180,Mon Apr 06 22:20:40 PDT 2009,viJILLante,this week is not going as i had hoped ,,,,,,,,,
1,1467814192,Mon Apr 06 22:20:41 PDT 2009,Ljelli3166,blagh class at 8 tomorrow ,,,,,,,,,
1,1467814438,Mon Apr 06 22:20:44 PDT 2009,ChicagoCubbie,I hate when I have to call and wake people up ,,,,,,,,,
1,1467814783,Mon Apr 06 22:20:50 PDT 2009,KatieAngell,Just going to cry myself to sleep after watching Marley and Me.  ,,,,,,,,,
1,1467814883,Mon Apr 06 22:20:52 PDT 2009,gagoo,im sad now  Miss.Lilly,,,,,,,,,
1,1467815199,Mon Apr 06 22:20:56 PDT 2009,abel209,ooooh.... LOL  that leslie.... and ok I won't do it again so leslie won't  get mad again ,,,,,,,,,
1,1467815753,Mon Apr 06 22:21:04 PDT 2009,BaptisteTheFool,Meh... Almost Lover is the exception... this track gets me depressed every time. ,,,,,,,,,
1,1467815923,Mon Apr 06 22:21:07 PDT 2009,fatkat309,some1 hacked my account on aim  now i have to make a new one,,,,,,,,,
1,1467815924,Mon Apr 06 22:21:07 PDT 2009,EmCDL,@alielayus I want to go to promote GEAR AND GROOVE but unfornately no ride there  I may b going to the one in Anaheim in May though,,,,,,,,,
1,1467815988,Mon Apr 06 22:21:09 PDT 2009,merisssa,thought sleeping in was an option tomorrow but realizing that it now is not. evaluations in the morning and work in the afternoon! ,,,,,,,,,
1,1467816149,Mon Apr 06 22:21:11 PDT 2009,Pbearfox,@julieebaby awe i love you too!!!! 1 am here  i miss you,,,,,,,,,
1,1467816665,Mon Apr 06 22:21:21 PDT 2009,jsoo,@HumpNinja I cry my asian eyes to sleep at night ,,,,,,,,,
1,1467816749,Mon Apr 06 22:21:20 PDT 2009,scarletletterm,ok I'm sick and spent an hour sitting in the shower cause I was too sick to stand and held back the puke like a champ. BED now ,,,,,,,,,
1,1467817225,Mon Apr 06 22:21:27 PDT 2009,crosland_12,@cocomix04 ill tell ya the story later  not a good day and ill be workin for like three more hours...,,,,,,,,,
1,1467817374,Mon Apr 06 22:21:30 PDT 2009,ajaxpro,@MissXu sorry! bed time came here (GMT+1)   http://is.gd/fNge,,,,,,,,,
1,1467817502,Mon Apr 06 22:21:32 PDT 2009,Tmttq86,@fleurylis I don't either. Its depressing. I don't think I even want to know about the kids in suitcases. ,,,,,,,,,
1,1467818007,Mon Apr 06 22:21:39 PDT 2009,Anthony_Nguyen,Bed. Class 8-12. Work 12-3. Gym 3-5 or 6. Then class 6-10. Another day that's gonna fly by. I miss my girlfriend ,,,,,,,,,
1,1467818020,Mon Apr 06 22:21:39 PDT 2009,itsanimesh,really don't feel like getting up today... but got to study to for tomorrows practical exam... ,,,,,,,,,
1,1467818481,Mon Apr 06 22:21:46 PDT 2009,lionslamb,He's the reason for the teardrops on my guitar the only one who has enough of me to break my heart ,,,,,,,,,
1,1467818603,Mon Apr 06 22:21:49 PDT 2009,kennypham,"Sad, sad, sad. I don't know why but I hate this feeling  I wanna sleep and I still can't!",,,,,,,,,
1,1467818900,Mon Apr 06 22:21:53 PDT 2009,DdubsShellBell,@JonathanRKnight Awww I soo wish I was there to see you finally comfortable! Im sad that I missed it ,,,,,,,,,
1,1467819022,Mon Apr 06 22:21:56 PDT 2009,hpfangirl94,Falling asleep. Just heard about that Tracy girl's body being found. How sad  My heart breaks for that family.,,,,,,,,,
